match_set,season,match_date,round,hometeam,awayteam,location,judge_main,judge_sub,maxset,set_num,match_winner,set_winner,match_loser,set_loser,set_length,score_HT,score_AT,home_rot1,home_rot2,home_rot3,home_rot4,home_rot5,home_rot6,home_li1,home_li2,away_rot1,away_rot2,away_rot3,away_rot4,away_rot5,away_rot6,away_li1,away_li2
017_67_4,20202021,20201201,2R,EX,IB,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_67_5,20202021,20201201,2R,EX,IB,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_69_1,20202021,20201202,2R,HK,KG,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_69_2,20202021,20201202,2R,HK,KG,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_69_3,20202021,20201202,2R,HK,KG,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_69_4,20202021,20201202,2R,HK,KG,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_72_1,20202021,20201204,2R,EX,HD,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_72_2,20202021,20201204,2R,EX,HD,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_72_3,20202021,20201204,2R,EX,HD,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_72_4,20202021,20201204,2R,EX,HD,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_74_1,20202021,20201205,3R,HK,GS,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_74_2,20202021,20201205,3R,HK,GS,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_74_3,20202021,20201205,3R,HK,GS,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_74_4,20202021,20201205,3R,HK,GS,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_74_5,20202021,20201205,3R,HK,GS,인천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_76_1,20202021,20201206,3R,KG,IB,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_76_2,20202021,20201206,3R,KG,IB,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_76_3,20202021,20201206,3R,KG,IB,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_78_1,20202021,20201208,3R,EX,HD,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_78_2,20202021,20201208,3R,EX,HD,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_78_3,20202021,20201208,3R,EX,HD,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_78_4,20202021,20201208,3R,EX,HD,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_78_5,20202021,20201208,3R,EX,HD,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_82_1,20202021,20201211,3R,IB,GS,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_82_2,20202021,20201211,3R,IB,GS,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_82_3,20202021,20201211,3R,IB,GS,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_82_4,20202021,20201211,3R,IB,GS,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_84_1,20202021,20201212,3R,KG,HD,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_84_2,20202021,20201212,3R,KG,HD,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_84_3,20202021,20201212,3R,KG,HD,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_84_4,20202021,20201212,3R,KG,HD,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_86_1,20202021,20201213,3R,HK,EX,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_86_2,20202021,20201213,3R,HK,EX,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_86_3,20202021,20201213,3R,HK,EX,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_89_1,20202021,20201216,3R,GS,KG,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_89_2,20202021,20201216,3R,GS,KG,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_89_3,20202021,20201216,3R,GS,KG,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_89_4,20202021,20201216,3R,GS,KG,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_92_1,20202021,20201218,3R,HK,IB,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_92_2,20202021,20201218,3R,HK,IB,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_92_3,20202021,20201218,3R,HK,IB,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_94_1,20202021,20201219,3R,HD,GS,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_94_2,20202021,20201219,3R,HD,GS,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_94_3,20202021,20201219,3R,HD,GS,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_94_4,20202021,20201219,3R,HD,GS,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_96_1,20202021,20201220,3R,EX,KG,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_96_2,20202021,20201220,3R,EX,KG,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_96_3,20202021,20201220,3R,EX,KG,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_96_4,20202021,20201220,3R,EX,KG,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_96_5,20202021,20201220,3R,EX,KG,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_99_1,20202021,20201223,3R,IB,EX,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_99_2,20202021,20201223,3R,IB,EX,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_99_3,20202021,20201223,3R,IB,EX,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_99_4,20202021,20201223,3R,IB,EX,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_99_5,20202021,20201223,3R,IB,EX,화성,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_102_1,20202021,20201225,3R,KG,HK,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_102_2,20202021,20201225,3R,KG,HK,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_102_3,20202021,20201225,3R,KG,HK,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_102_4,20202021,20201225,3R,KG,HK,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_102_5,20202021,20201225,3R,KG,HK,대전,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_104_1,20202021,20201226,3R,IB,HD,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_104_2,20202021,20201226,3R,IB,HD,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_104_3,20202021,20201226,3R,IB,HD,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_104_4,20202021,20201226,3R,IB,HD,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_106_1,20202021,20201227,3R,EX,GS,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_106_2,20202021,20201227,3R,EX,GS,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_106_3,20202021,20201227,3R,EX,GS,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_106_4,20202021,20201227,3R,EX,GS,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_106_5,20202021,20201227,3R,EX,GS,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_108_1,20202021,20201229,3R,HD,HK,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_108_2,20202021,20201229,3R,HD,HK,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_108_3,20202021,20201229,3R,HD,HK,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_108_4,20202021,20201229,3R,HD,HK,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_108_5,20202021,20201229,3R,HD,HK,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_110_1,20202021,20201230,4R,IB,GS,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_110_2,20202021,20201230,4R,IB,GS,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_110_3,20202021,20201230,4R,IB,GS,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_110_4,20202021,20201230,4R,IB,GS,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_113_1,20202021,20210101,4R,HD,KG,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_113_2,20202021,20210101,4R,HD,KG,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_113_3,20202021,20210101,4R,HD,KG,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
